id_deal,fk_channel,fk_deal_source,fk_deal_type,fk_hotel,oneg_id,fk_deal_status,fk_dictionary,fk_city,fk_deal_import_log,market,promo_code,offer_text,offer_moo,offer_value,offer_text_hash,exclusive,percent_off,dollar_off,los,fn,rn,promo_start,promo_end,booking_start,booking_end,stay_start,stay_end,dt_updated,dt_created,dt_modified,sort_order,validated,flag
127751,1,3,1,1860,186,1,3,43,214,"BEST WESTERN Arosa Hotel Madrid",PO,"Book Now & Save 20% - Non Refundable",NULL,NULL,0,0,20.00,0.00,0,0,2,2014-07-08,2014-07-14,2013-01-01,2015-12-31,2013-01-01,2015-12-31,"2014-07-05 03:12:26","2014-07-05 03:12:26","2014-08-06 01:24:58",99,4,0
127752,1,3,1,8768,2170,1,3,368,214,"Kempinski Bahia Hotel Estepona",PO,"Book 5 Nights & Save 25%",NULL,NULL,0,0,25.00,0.00,0,0,5,2014-07-08,2014-07-14,2013-01-01,2015-12-31,2014-09-01,2014-10-20,"2014-07-05 03:12:26","2014-07-05 03:12:26","2014-08-06 01:24:58",99,4,0
127753,1,3,1,112989,2308,1,3,16264,214,"Kauai Marriott Resort & Beach Club",PO,"Book Now and Save 15%",NULL,NULL,0,0,15.00,0.00,0,0,0,2014-07-08,2014-07-14,2014-06-30,2014-07-31,2014-07-01,2014-12-31,"2014-07-05 03:12:26","2014-07-05 03:12:26","2014-08-06 01:24:58",99,4,0
127754,1,3,1,7233,2618,1,3,155,214,"Sheraton Gateway Hotel Los Angeles",PO,"Save 15% on your stay",NULL,NULL,0,0,15.00,0.00,0,0,0,2014-07-08,2014-07-14,2013-01-01,2015-12-31,2013-01-01,2015-12-31,"2014-07-05 03:12:26","2014-07-05 03:12:26","2014-08-06 01:24:58",99,4,0
127755,1,3,1,4303,2760,1,3,13775,214,"B Resort",PO,"SAVE OVER 33% OFF CAPTIVATING",NULL,NULL,0,0,33.50,0.00,0,0,0,2014-07-08,2014-07-14,2014-06-30,2014-07-07,2014-06-30,2014-09-30,"2014-07-05 03:12:26","2014-07-05 03:12:26","2014-08-06 01:24:58",99,4,0
127756,1,3,1,4303,2760,1,3,13775,214,"B Resort",PO,"SAVE OVER 37% OFF CHIC",NULL,NULL,0,0,37.70,0.00,0,0,0,2014-07-08,2014-07-14,2014-06-30,2014-07-07,2014-06-30,2014-09-30,"2014-07-05 03:12:26","2014-07-05 03:12:26","2014-08-06 01:24:58",99,4,0
127757,1,3,1,36104,2872,1,3,5902,214,"Casa Dann Carlton Hotel Spa Bogota",PO,"Book 30 days in advance and save 44%",NULL,NULL,0,0,44.00,0.00,0,0,3,2014-07-08,2014-07-14,2013-01-01,2015-12-31,2013-01-01,2015-12-31,"2014-07-05 03:12:26","2014-07-05 03:12:26","2014-08-06 01:24:58",99,4,0
127758,1,3,1,36104,2872,1,3,5902,214,"Casa Dann Carlton Hotel Spa Bogota",PO,"Book 21 days in advance and save 40%",NULL,NULL,0,0,40.00,0.00,0,0,0,2014-07-08,2014-07-14,2013-01-01,2015-12-31,2013-01-01,2015-12-31,"2014-07-05 03:12:26","2014-07-05 03:12:26","2014-08-06 01:24:58",99,4,0
127759,1,3,1,36104,2872,1,3,5902,214,"Casa Dann Carlton Hotel Spa Bogota",PO,"Save 38% on 7 nights or more",NULL,NULL,0,0,38.00,0.00,0,0,7,2014-07-08,2014-07-14,2013-01-01,2015-12-31,2013-01-01,2015-12-31,"2014-07-05 03:12:26","2014-07-05 03:12:26","2014-08-06 01:24:58",99,4,0
127760,1,3,1,12550,2909,1,3,436,214,"Lord Balfour",PO,"Its our One Year Anniversary! Save 25%!",NULL,NULL,0,0,25.00,0.00,0,0,0,2014-07-08,2014-07-14,2014-06-24,2014-07-11,2014-06-24,2014-09-30,"2014-07-05 03:12:26","2014-07-05 03:12:26","2014-08-06 01:24:58",99,4,0
127761,1,3,1,4066,3300,1,3,141,214,"Marina Mandarin Singapore",PO,"Book Now & Save 10%",NULL,NULL,0,0,10.00,0.00,0,0,0,2014-07-08,2014-07-14,2013-01-01,2015-12-31,2014-12-12,2014-12-24,"2014-07-05 03:12:26","2014-07-05 03:12:26","2014-08-06 01:24:58",99,4,0
127762,1,3,1,57871,3361,1,3,12567,214,"Omni Puerto Aventuras Golf and Beach Resort",PO,"GREAT SALE- 45% off",NULL,NULL,0,0,45.00,0.00,0,0,0,2014-07-08,2014-07-14,2014-05-27,2014-07-31,2013-01-01,2015-12-31,"2014-07-05 03:12:26","2014-07-05 03:12:26","2014-08-06 01:24:58",99,4,0
127763,1,3,1,57871,3361,1,3,12567,214,"Omni Puerto Aventuras Golf and Beach Resort",PO,"Orbitz Partner Network",NULL,NULL,0,0,53.00,0.00,0,0,0,2014-07-08,2014-07-14,2014-06-30,2014-08-31,2013-01-01,2015-12-31,"2014-07-05 03:12:26","2014-07-05 03:12:26","2014-08-06 01:24:58",99,4,0
127764,1,3,1,16101,3625,1,3,13775,214,"Ramada Suites Orlando Airport",PO,"Save 20% on your stay",NULL,NULL,0,0,20.00,0.00,0,0,3,2014-07-08,2014-07-14,2013-05-30,2015-05-29,2013-05-30,2015-05-29,"2014-07-05 03:12:26","2014-07-05 03:12:26","2014-08-06 01:24:58",99,4,0
